title,price,address,item_url,date,Вход,Общая площадь,Этаж,Высота потолков,Отделка,Отопление,Тип сделки,Готовность,Тип здания,Класс здания,Парковка,lat,lon,Отдельный вход,Удалённость от дороги,Мощность электросети,Арендаторы,Количество парковочных мест,Планировка
Торговая площадь,5120000,"ул. Газинура Гафиатуллина, 27Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/torgovaya_ploschad_7305968084?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 06:35,с улицы,57 м²,1,3 м,офисная,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",54.53526065405726,52.79129579202137,есть,первая линия,"15 кВт, можно увеличить",,55,
Помещение магазин,100,"ул. Ленина, 6пгт. Джалиль",https://www.avito.ru/dzhalil/kommercheskaya_nedvizhimost/pomeschenie_magazin_7323158013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 21:54,с улицы,91 м²,1,,офисная,,продажа,в эксплуатации,жилой дом,,на улице,55.02395205572833,52.73924992779241,есть,,,,,
Габ в центре Казани: ТЦ с арендаторами от 11 млн,254000000,"Московская ул., 72Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_v_tsentre_kazani_tts_s_arendatorami_ot_11_mln_7281654000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:44,с улицы,1578.7 м²,,,чистовая,,продажа,в эксплуатации,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.783423,49.114211,есть,,,помещение сдано,,
Свободного назначения,5800000,"ул. Свердлова, 151Тетюши",https://www.avito.ru/tetyushi/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7305820665?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:40,с улицы,147.4 м²,1,3 м,офисная,автономное,продажа,в эксплуатации,другой,,"на улице, бесплатная",54.922128792116155,48.838363086185154,есть,первая линия,15 кВт,,10,
Свободного назначения,45000000,"Центрально-Мариупольская ул., 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7305418695?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:29,с улицы,369 м²,1,3 м,офисная,автономное,продажа,в эксплуатации,другой,,"на улице, бесплатная",55.87118224047184,49.068568340420285,есть,первая линия,65 кВт,помещение сдано,10,
Здание,30000000,"ул. Новоселья, 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_7305105941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:28,с улицы,187.4 м²,1,3.5 м,офисная,автономное,продажа,в эксплуатации,другой,,"на улице, бесплатная",55.78149796,49.241745,есть,вторая линия и дальше,74 кВт,помещение сдано,10,
Продаётся габ на первой линии,145000000,"ул. Ефимова, 1Бпос. Сосновый Бор",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_gab_na_pervoy_linii_7289544866?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 16:03,с улицы,775.6 м²,1,,чистовая,,продажа,,торговый центр,,на улице,55.647615,52.616725,,,,,,
"Здание, 70 м²",2699000,"Школьная ул., 6с. Никольское",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_70_m_7296997547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 15:37,с улицы,70 м²,,2.6 м,чистовая,центральное,продажа,в эксплуатации,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.536706,49.194063,есть,,,,50,
Продаю 1080 м² с земельным участком,83000000,"Арская ул., 1садоводческое некоммерческое товарищество Городок",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodayu_1080_m_s_zemelnym_uchastkom_7289692837?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 15:04,с улицы,1080 м²,1,,чистовая,,продажа,,другой,,на улице,55.823626,49.426079,,,,,,
"Без отделки, 104 м²",15600000,"Тэцевская ул., 4ДКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/bez_otdelki_104_m_7318893464?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 10:49,с улицы,104 м²,1,4.2 м,без отделки,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.851,49.062513,есть,вторая линия и дальше,"8 кВт, можно увеличить",,5,
Торговая площадь,25650000,"ул. Баки Урманче, 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281446106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 10:30,с улицы,135 м²,1,2.8 м,чистовая,,продажа,в эксплуатации,жилой дом,,на улице,55.73111343,49.17533112,,первая линия,15 кВт,,,
Габ с магазином «Монетка»,31320000,"ул. Мурадьяна, 28АНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/gab_s_magazinom_monetka_7291998264?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 19:24,с улицы,258.1 м²,1,3 м,чистовая,центральное,продажа,в эксплуатации,другой,,"на улице, бесплатная",55.663481,51.820458,есть,вторая линия и дальше,44 кВт,помещение сдано,5,
"Свободного назначения, 73.2 м²",14000000,"ул. Белинского, 17Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_73.2_m_7305562124?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 19:04,с улицы,73.2 м²,1,3.4 м,офисная,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.85289860519337,49.07284435891848,есть,первая линия,15 кВт,помещение сдано,10,
"Продам помещение свободного назначения, 510 м²",156862,"Магистральная ул., 34с. Каймары",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_pomeschenie_svobodnogo_naznacheniya_510_m_7261444566?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 11:15,с улицы,510 м²,1,3 м,без отделки,,продажа,в эксплуатации,другой,,на улице,55.966181,49.193092,,,,,,
Продается производственная база/склад,22000000,"Автосборочный пр., 37Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_proizvodstvennaya_bazasklad_7275399098?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 08:40,с улицы,175 м²,1,4.6 м,чистовая,автономное,продажа,в эксплуатации,другой,,"на улице, бесплатная",55.715240423714306,52.473549791774545,,вторая линия и дальше,15 кВт,,5,
"Торговая площадь, 50.8 м²",8500000,"Петербургская ул., 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_50.8_m_7285073227?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 15:59,с улицы,50.8 м²,1,,чистовая,центральное,продажа,в эксплуатации,торговый центр,,"в здании, бесплатная, подходит для грузового транспорта",55.785321,49.126554,,первая линия,,,,
Торговая площадь,7300000,"ул. Космонавтов, 9Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7264495288?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 15:30,с улицы,71 м²,1,3.5 м,чистовая,центральное,продажа,в эксплуатации,жилой дом,,на улице,55.84942182578509,48.50424316394755,есть,первая линия,,,,
Склад производство Шигалеево,65000000,"Полевая ул., 2с. Старое Шигалеево",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_proizvodstvo_shigaleevo_7288360930?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 10:03,с улицы,1056 м²,1,6 м,чистовая,,продажа,,другой,B,на улице,55.822706,49.496669,,,150 кВт,помещение сдано,,
"Продам складское помещение, 14362 м²",47990000,с. Шемордан,https://www.avito.ru/shemordan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_14362_m_7289959110?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,6 апреля 16:08,с улицы,14362 м²,1,,без отделки,,продажа,в эксплуатации,другой,,нет,56.189199,50.395955,,,,,,
Производство,52000000,"территория Промзона, 78БНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/proizvodstvo_7263683936?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,6 апреля 09:42,с улицы,3550 м²,1,,,,продажа,в эксплуатации,другой,,,55.60342324161992,51.90502833007736,есть,,"100 кВт, можно увеличить",,,
"Свободного назначения, 62.6 м²",11990000,"Детский пр., 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_62.6_m_7285005942?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,5 апреля 19:09,с улицы,62.6 м²,1,4 м,офисная,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.679612000408646,49.20058835881888,есть,первая линия,"7 кВт, можно увеличить",,,
Свободного назначения,3300000,"ул. Гагарина, 33Лениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7262219923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,5 апреля 13:44,с улицы,80 м²,1,2.5 м,офисная,центральное,продажа,в эксплуатации,жилой дом,,на улице,54.59769083282488,52.45430763382217,есть,первая линия,"5 кВт, можно увеличить",помещение сдано,,
Идеальный вариант для пвз,6000000,"ул. Космонавтов, 29АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/idealnyy_variant_dlya_pvz_7262377576?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 23:46,со двора,42 м²,1,,офисная,,продажа,,жилой дом,,на улице,55.801384,49.192221,есть,,5 кВт,,,
Торговая площадь (нежилое здание) 60 м²,900000,"Зелёная ул., 1Апос. Октябрьский",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_nezhiloe_zdanie_60_m_7261537739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 15:56,с улицы,60 м²,1,3 м,без отделки,нет,продажа,в эксплуатации,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.83361697074068,48.78057598508542,есть,первая линия,"15 кВт, можно увеличить",,15,
"Свободного назначения, 1413.7 м²",130000000,"ул. Саид-Галеева, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_1413.7_m_7275310403?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 15:16,с улицы,1413.7 м²,1,,чистовая,центральное,продажа,в эксплуатации,торговый центр,,на улице,55.791405983189286,49.09979721957395,есть,первая линия,,,,
"Склад, 1440.00 кв.м., д",81000000,Советский районКазань,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_1440.00_kv.m._d_7261035323?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 15:03,с улицы,1440 м²,1,9 м,чистовая,автономное,продажа,,другой,,на улице,55.809241,49.227624,,,150 кВт,,,
"Торговая площадь, 775.6 м²",145000000,"ул. Ефимова, 1Бпос. Сосновый Бор",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_775.6_m_7288688769?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,3 апреля 19:23,с улицы,775.6 м²,1,5 м,чистовая,автономное,продажа,в эксплуатации,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.64781849155531,52.616414292891434,есть,первая линия,"250 кВт, можно увеличить",помещение сдано,100,
"Торговая площадь, 100.46 м²",283500,"ул. Баки Урманче, 4к4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_100.46_m_7268189295?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,3 апреля 12:11,с улицы,100.46 м²,1,4 м,без отделки,центральное,продажа,строится,жилой дом,,"на улице, бесплатная",55.73327937813665,49.17685080459353,есть,первая линия,,,,
"Торговая площадь, 78 м²",3000000,"ул. Мусы Джалиля, 2Бпгт. Уруссу",https://www.avito.ru/urussu/kommercheskaya_nedvizhimost/torgovaya_ploschad_78_m_7267251760?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,3 апреля 09:32,с улицы,78 м²,1,3 м,чистовая,автономное,продажа,в эксплуатации,административное здание,,"на улице, бесплатная, подходит для грузового транспорта",54.595549,53.455545,есть,первая линия,"15 кВт, можно увеличить",помещение сдано,5,
"Габ окупаемость 8 лет, 3604.6 м²",150000000,"7-й комплекс, 11Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/gab_okupaemost_8_let_3604.6_m_7269771582?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,2 апреля 14:32,со двора,3604.6 м²,1,3 м,чистовая,центральное,продажа,в эксплуатации,административное здание,,на улице,55.72769568972635,52.398862492065426,есть,вторая линия и дальше,"140 кВт, можно увеличить",помещение сдано,38,
Продажа помещения с арендатором,175000,"пр-т Хасана Туфана, 8Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodazha_pomescheniya_s_arendatorom_7275300717?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,2 апреля 09:13,с улицы,114 м²,1,3.5 м,чистовая,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.73909170603387,52.41725061595534,есть,вторая линия и дальше,25 кВт,помещение сдано,,
Салон красоты в собственности,11500000,"ул. Белинского, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/salon_krasoty_v_sobstvennosti_7263700996?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,1 апреля 12:28,с улицы,48 м²,1,,офисная,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.854176634016206,49.081315104224984,есть,первая линия,15 кВт,,,
"Продам складское помещение, 727.3 м²",12000000,Заводская ул.пгт. Нижняя Мактама,https://www.avito.ru/nizhnyaya_maktama/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_727.3_m_7263976005?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,1 апреля 11:43,с улицы,727.3 м²,1,,без отделки,,продажа,,другой,,нет,54.866404,52.429902,,,,,,
Торговая площадь,4100000,"Кооперативная ул., 4Нурлат",https://www.avito.ru/nurlat/kommercheskaya_nedvizhimost/torgovaya_ploschad_7268771906?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,1 апреля 10:14,с улицы,42.7 м²,1,,чистовая,центральное,продажа,в эксплуатации,другой,,на улице,54.42887115,50.80855179,есть,первая линия,220 кВт,,,
"Свободного назначения, 10341 м²",35000000,16К-1247Нижнекамск,https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_10341_m_7267518706?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,1 апреля 10:14,с улицы,10341 м²,1,,офисная,автономное,продажа,в эксплуатации,другой,,"на улице, подходит для грузового транспорта",55.581195,51.698548,,первая линия,630 кВт,,,
Свободного назначения,16900000,"пр-т Абдурахмана Абсалямова, 13Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7276030247?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,31 марта 15:00,с улицы,93 м²,1,3.5 м,чистовая,центральное,продажа,в эксплуатации,жилой дом,,"на улице, бесплатная",55.764702822429896,52.46036134125076,есть,первая линия,"15 кВт, можно увеличить",помещение сдано,,
