title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип аренды,Тип здания,Парковка,lat,lon,Отдельный вход,Высота потолков,Мощность электросети,Отопление,Минимальный срок аренды,Удалённость от дороги,Аренда части,Планировка,Класс здания,Количество парковочных мест,Арендные каникулы,Платежи включены
"Торговая площадь, 103.7м², высокий трафик, парковк",1950,"ул. Академика Лаврентьева, 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_103.7m_vysokiy_trafik_parkovk_7278484105?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,103.7 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.831792,49.151348,есть,3.4 м,"7 кВт, можно увеличить",центральное,2 мес.,первая линия,возможна,,,30,есть,
"Казань, Центральная, д. 111 (Салмачи), площади 39",22000,"Приволжский район, жилой массив Салмачи, Центральная ул., 111Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_tsentralnaya_d._111_salmachi_ploschadi_39_7280926536?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,39 м²,1,чистовая,прямая,административное здание,"на улице, бесплатная",55.742919,49.285682,,3 м,10 кВт,автономное,11 мес.,первая линия,,,,10,,коммунальные
"Помещение рядом с магазином Пятерочка, 1линия 1 эт",2000,"Центральная ул., 20с. Богородское",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_ryadom_s_magazinom_pyaterochka_1liniya_1_et_7296071586?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,120 м²,1,офисная,прямая,другой,"на улице, бесплатная",55.74467552473952,49.389333880950915,есть,4 м,50 кВт,автономное,12 мес.,первая линия,,,,,есть,
"Свободного назначения, 55 м²",1400,"ул. Бурхана Шахиди, 3с. Сокуры, коттеджный пос. Новые Сокуры- 3",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_55_m_7268337239?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,55 м²,1,офисная,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.60788345,49.3744278,есть,4 м,"150 кВт, можно увеличить",,11 мес.,,возможна,,,50,есть,
Склад холодный на Журналистов и офис,95000,"ул. Журналистов, 27Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_holodnyy_na_zhurnalistov_i_ofis_7262495572?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,,100 м²,1,,прямая,другой,на улице,55.822155,49.19185257,,6 м,,,6 мес.,,,,,,,
"Торговая площадь, 4 м²",4850,"ул. Ленина, 126Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_4_m_7305075069?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,4 м²,1,без отделки,прямая,торговый центр,"на улице, бесплатная",54.906611,52.257021,,4 м,"15 кВт, можно увеличить",центральное,11 мес.,первая линия,,,,,,"коммунальные, эксплуатационные"
Свободного назначения,60000,"ул. Кул Гали, 34Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7288481404?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,40 м²,1,чистовая,прямая,жилой дом,на улице,55.75011063,49.24581528,,,,,,,,,,,есть,
"Торговая площадь, 11.4 м²",27000,"пр-т Строителей, 30Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_11.4_m_7305114858?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,11.4 м²,1,без отделки,прямая,торговый центр,на улице,55.860181,48.571171,,,,,11 мес.,первая линия,,,,,,
Торговая площадь,1450,"Тэцевская ул., 4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281566546?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,3 недели назад,с улицы,120.9 м²,1,чистовая,прямая,жилой дом,на улице,55.84992981,49.06723785,,,15 кВт,,,,,,,,есть,
"Торговая площадь, 14 м² в гипере Магнит Шевченко 4",1,"ул. Шевченко, 47Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_14_m_v_gipere_magnit_shevchenko_4_7306204136?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,10 апреля 11:55,с улицы,14 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная",54.896724,52.256312,,,,центральное,11 мес.,первая линия,,,,200,,"коммунальные, эксплуатационные"
"Торговая площадь, 140 м²",210000,"ул. Декабристов, 160/40Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_140_m_7306109860?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,10 апреля 10:47,с улицы,120 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.833991,49.081037,есть,3 м,40 кВт,центральное,,первая линия,возможна,,,4,,
Торговая площадь аренда 65,65000,"ул. Кул Гали, 27Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_arenda_65_7281961258?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,10 апреля 10:18,с улицы,65 м²,1,чистовая,прямая,жилой дом,на улице,55.75117493,49.24485397,есть,3.5 м,,,,,,,,,есть,
Сдам в аренду 25 м2,100,"ул. Раскольникова, 29АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sdam_v_arendu_25_m2_7303016556?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,10 апреля 10:13,с улицы,25 м²,1,офисная,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.73344803,52.36662292,есть,2.6 м,"220 кВт, можно увеличить",,11 мес.,,возможна,,,30,есть,
"Свободного назначения, 45 м²",100000,"ул. Баки Урманче, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_45_m_7271111105?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,10 апреля 09:58,с улицы,45 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.73142366396602,49.17665139790395,есть,3.5 м,,,11 мес.,,,,,,есть,
Склад,150000,"Старосармановская ул., 23Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sklad_7275033076?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 19:41,,100 м²,1,,субаренда,другой,,55.67258453,52.33660126,,,,,,,,,,,,"коммунальные, эксплуатационные"
Аренда от 18 до 86 м²,300,"Центральная ул., 3Бд. Малая Шильна",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/arenda_ot_18_do_86_m_7269769684?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 16:24,с улицы,50 м²,1,без отделки,прямая,административное здание,"на улице, бесплатная, подходит для грузового транспорта",55.80213023911342,52.53243046404718,есть,4 м,"15 кВт, можно увеличить",,11 мес.,,возможна,,,50,есть,
"Торговая площадь, 31.5 м²",85850,"ул. Гаврилова, 30АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_31.5_m_7272524965?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 16:21,с улицы,31.5 м²,1,чистовая,прямая,административное здание,"на улице, бесплатная",55.837677,49.15795,есть,,,,11 мес.,первая линия,возможна,,,5,,
"Свободного назначения, 128.6 м²",1500,"Московский пр-т, 35Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_128.6_m_7262779360?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 14:34,с улицы,128.6 м²,1,без отделки,прямая,жилой дом,"на улице, бесплатная",55.712391,52.375832,есть,4.2 м,24 кВт,центральное,36 мес.,первая линия,,,,200,есть,
"Пушкина, 1 линия, 1 этаж 145 м²",203000,"ул. Пушкина, 42Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pushkina_1_liniya_1_etazh_145_m_7284049250?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 12:12,с улицы,145 м²,1,чистовая,прямая,административное здание,нет,55.793348,49.12535,есть,3 м,15 кВт,центральное,11 мес.,первая линия,,,,,,
Склад,21000,"Технологическая ул., 17Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/sklad_7266425219?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 10:15,с улицы,105 м²,1,без отделки,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.59855652,51.83969116,есть,,,,1 мес.,,,,A,,есть,эксплуатационные
Свободного назначения,2500,"ул. Сибгата Хакима, 42Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7267046162?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,9 апреля 08:26,с улицы,50 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.81427383,49.13467407,есть,4 м,3 кВт,,11 мес.,,,,,4,есть,
"Торговая площадь, Зур Урам ул., 11",100000,"ул. Зур Урам, 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_zur_uram_ul._11_7288229872?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 21:03,с улицы,54 м²,1,чистовая,прямая,жилой дом,на улице,55.807142,49.195904,,2.8 м,15 кВт,,,,,,,,,
"Под магазин, салон, услуги",182000,"ул. Гагарина, 89Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pod_magazin_salon_uslugi_7288358942?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 21:03,с улицы,91 м²,1,чистовая,прямая,жилой дом,на улице,55.836969,49.083426,,3 м,20 кВт,,,,,,,,,
Свободного назначения,40000,"Школьная ул., 2Нурлат",https://www.avito.ru/nurlat/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7262759080?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 19:29,с улицы,40 м²,1,без отделки,прямая,бизнес-центр,на улице,54.42899323,50.80694199,есть,2.5 м,220 кВт,,11 мес.,,,,,,есть,
"Свободного назначения, 14,3-31м²",1200,"пр-т Раиса Беляева, 31Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_143-31m_7318483374?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 18:08,с улицы,14.3 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.73748231850034,52.39396111772155,есть,3.2 м,5 кВт,,,,возможна,,,10,есть,эксплуатационные
Помещение в ЖК Элегия,138200,"ул. Горьковское Шоссе, 2Ак1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_zhk_elegiya_7281931169?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 17:12,с улицы,69.1 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.82550049,49.04116058,есть,4.5 м,10 кВт,,11 мес.,,,,,,есть,
Свободного назначения,75000,"ул. Ленина, 88с. Тюлячи",https://www.avito.ru/bogatye_saby/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7283601935?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 16:34,с улицы,150 м²,1,чистовая,прямая,торговый центр,на улице,55.89385986,50.25125504,,3 м,50 кВт,,12 мес.,,,,,,есть,
"Свободного назначения, 30 м²",59900,"посёлок ЗЯБ, ул. Тан, 138Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_30_m_7319021310?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 15:28,с улицы,30 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная",55.68544058843285,52.34800913988109,есть,3.5 м,"5 кВт, можно увеличить",центральное,,первая линия,,,,50,есть,эксплуатационные
Свободного назначения,55000,"Советский район, посёлок Дербышки, Советская ул., 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7281405023?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 15:23,с улицы,75 м²,1,без отделки,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.87180289913369,49.224951922068186,есть,,,,12 мес.,,,,,3,есть,
"Торговая площадь, 21 м²",21000,"ул. Гагарина, 89Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_21_m_7306292547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 14:33,с улицы,21 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.836969,49.083426,есть,3.8 м,15 кВт,центральное,12 мес.,первая линия,,,,4,,
Свободного назначения,116200,"ул. Азата Аббасова, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7292346570?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 13:59,с улицы,58.1 м²,1,офисная,прямая,жилой дом,на улице,55.79235077,49.24756622,есть,3 м,5 кВт,,11 мес.,,,,,,есть,
Сдача парковки под общепит\шиномонтаж и др. в Лент,60000,"Советский район, мкр-н Азино-1, ул. Закиева, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdacha_parkovki_pod_obschepitshinomontazh_i_dr._v_lent_7271762136?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 13:54,с улицы,50 м²,1,без отделки,прямая,другой,"на улице, бесплатная",55.775479,49.230049,,,,,11 мес.,,,,,,,
Склад,33180,"Даурская ул., 8АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_7309629945?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIMFFZZ05vNXk2blJCdGc4Ijt9P_qucj8AAAA,8 апреля 09:50,со двора,47.4 м²,1,без отделки,прямая,административное здание,"на улице, бесплатная",55.76154327,49.14402771,есть,3 м,5 кВт,,11 мес.,,,,,,,
