title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания
"Свободного назначения, 60 М2. Мой Ритм",1700,"ул. Петра Полушкина, 4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_60_m2._moy_ritm_7346662494?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,5 часов назад,с улицы,,60 м²,1,,чистовая,,,прямая,,жилой дом,,нет,55.785007,49.21661,,,,,,
"Под магазин, офис, салон, услуги на 1 линии",65000,"Тэцевская ул., 4БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pod_magazin_ofis_salon_uslugi_na_1_linii_7352451714?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,6 часов назад,с улицы,,52 м²,1,4 м,чистовая,50 кВт,,прямая,,жилой дом,,на улице,55.850403,49.065963,есть,,эксплуатационные,,,
"Первая линия, доступ 24/7, Оренбургский проезд,203",2000,"Оренбургский пр., 203Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_dostup_247_orenburgskiy_proezd203_7346247168?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,8 часов назад,с улицы,есть,80 м²,1,3 м,без отделки,,,прямая,11 мес.,другой,,на улице,55.73400497,49.1829071,есть,,,,,
"Помещение под склад в центре города, доступ 24/7",1500,"пер. Кирова, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_pod_sklad_v_tsentre_goroda_dostup_247_7346529794?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,9 часов назад,с улицы,есть,29.1 м²,1,3.5 м,чистовая,,,прямая,11 мес.,другой,,на улице,55.79143143,49.10588455,есть,,,,,
"Свободное назначение 33м2, Ломжинская ул., 24А",80000,"Ломжинская ул., 24АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnoe_naznachenie_33m2_lomzhinskaya_ul._24a_7352956169?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,9 часов назад,с улицы,есть,33 м²,1,2.8 м,чистовая,14 кВт,,прямая,,другой,,нет,55.766577,49.230471,есть,,,,,
Холодный склад от 50 м² до 1000 м²,300,"Механизаторный пр., 18/1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/holodnyy_sklad_ot_50_m_do_1000_m_7365356127?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,9 часов назад,со двора,,50 м²,1,5 м,чистовая,300 кВт,,прямая,1 мес.,другой,,"на улице, подходит для грузового транспорта",55.73880386,52.49831009,есть,,,возможна,,
Свободного назначения,102600,"ул. Азата Аббасова, 13Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7347638166?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,54 м²,1,3 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.79113007,49.25039673,есть,,,,,
В центре Казани на ул Островского,479000,"ул. Островского, 104Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/v_tsentre_kazani_na_ul_ostrovskogo_7325657199?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,137 м²,1,4 м,без отделки,,,прямая,,жилой дом,,в здании,55.779342,49.133426,есть,,,,,
Свободного назначения,27000,"53-й комплекс, 27БНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7387321763?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,18 м²,1,2.5 м,офисная,,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.74744415,52.44014359,,1,,,,
"Свободного назначения, 90 м²",1200,"ул. Габдуллы Тукая, 2с. Новое Шигалеево",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_90_m_7361244789?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,90 м²,1,,чистовая,,центральное,субаренда,,торговый центр,первая линия,"на улице, бесплатная",55.810941,49.431308,,,,,,
Склад,10000,"ул. Клары Цеткин, 8/27Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_7349315881?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,28 м²,1,2.7 м,без отделки,,,прямая,,другой,,на улице,55.800286,49.066717,есть,,"коммунальные, эксплуатационные",,,
"Свободного назначения, склад",25000,"ул. Клары Цеткин, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_sklad_7387031460?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,35 м²,1,2.8 м,чистовая,5 кВт,,прямая,11 мес.,другой,,"на улице, бесплатная",55.800162941094406,49.0641307103549,есть,10,"коммунальные, эксплуатационные",,,
"Торговая площадь, 26 м²",35000,"ул. Липатова, 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_26_m_7330950143?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,26 м²,1,2.3 м,чистовая,15 кВт,,прямая,6 мес.,административное здание,,"на улице, бесплатная, подходит для грузового транспорта",55.871082,49.222467,есть,2,эксплуатационные,,,
"Офис, торговая площадь на первой линии",50000,"ул. Михаила Миля, 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_torgovaya_ploschad_na_pervoy_linii_7346923529?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,45 м²,1,,офисная,,,прямая,,административное здание,,на улице,55.84863,49.126186,,,,,,
"Свободного назначения, 141.69 м²",850,"3-я Победиловская ул., 3АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_141.69_m_7361139926?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,141.69 м²,1,3 м,офисная,35 кВт,центральное,прямая,11 мес.,административное здание,первая линия,"на улице, бесплатная",55.722892,49.089032,,,,,,
Свободного назначения,27300,"ул. Маршала Чуйкова, 23Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7335238781?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,21 м²,1,,чистовая,3 кВт,,прямая,5 мес.,жилой дом,,на улице,55.83688736,49.11849594,есть,,,,,
"Производство, склад",800,"Тэцевская ул., 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/proizvodstvo_sklad_7387061218?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,65 м²,1,6 м,чистовая,30 кВт,,прямая,11 мес.,другой,,"на улице, бесплатная",55.84753184181762,49.076698624017524,есть,5,"коммунальные, эксплуатационные",,,
"Свободного назначения, 105.6 м²",1500,"ул. Шамиля Усманова, 18ДНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105.6_m_7360551513?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,105.6 м²,1,4.2 м,без отделки,20 кВт,центральное,прямая,60 мес.,другой,вторая линия и дальше,"на улице, бесплатная",55.726958,52.382785,есть,20,,,,
"Торговая площадь, 30 м²",70000,"ул. Четаева, 43АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_7361711683?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,30 м²,1,3.5 м,чистовая,5 кВт,центральное,прямая,,жилой дом,первая линия,"на улице, бесплатная",55.823909,49.113457,,,,,,
"Свободного назначения, 132.8 м²",170,"ул. Дементьева, 2к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_132.8_m_7342828229?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,132.8 м²,1,,офисная,,нет,субаренда,,административное здание,,на улице,55.845345,49.088825,,,эксплуатационные,,,
Свободного назначения,900,"ул. Чоловского, 15/1Менделеевск",https://www.avito.ru/mendeleevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7347526358?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,77 м²,1,11 м,чистовая,,,прямая,,торговый центр,,"на улице, бесплатная",55.88273621,52.30271912,есть,,коммунальные,,,
"Торговая площадь, 18 м²",36000,"Оренбургский тракт, 158Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_18_m_7335926322?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,18 м²,1,3.8 м,чистовая,5 кВт,автономное,прямая,,торговый центр,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.724784,49.191835,,2000,эксплуатационные,,,
"Свободного назначения, 10 м²",60000,"пр-т Победы, 50БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_10_m_7336239224?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,10 м²,1,,чистовая,,центральное,прямая,11 мес.,торговый центр,первая линия,"в здании, бесплатная",55.748418097969534,49.20677423544309,,,"коммунальные, эксплуатационные",,,
Свободного назначения,42000,"Приволжский район, Магистральная ул., 124Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7375541622?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,50 м²,1,,офисная,,,прямая,9 мес.,торговый центр,,на улице,55.7453916747702,49.10455065562776,есть,,,,,
"Первая линия, отдельный вход, Беломорская,69Ак1",1500,"Беломорская ул., 69Ак1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_otdelnyy_vhod_belomorskaya69ak1_7346957697?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,22 м²,1,3 м,чистовая,50 кВт,,прямая,11 мес.,другой,,на улице,55.86565781,49.02928543,есть,,,,,
Свободного назначения,45000,"ул. Академика Завойского, 13Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7336282091?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,50 м²,1,3 м,чистовая,220 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.75859833,49.23910522,есть,,,,,
Свободного назначения,180000,"Ленинградская ул., 56АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7352614124?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,120 м²,1,3 м,чистовая,"60 кВт, можно увеличить",,прямая,,другой,,"на улице, бесплатная",55.868948489206,49.08933298718915,есть,,,,,
Свободного назначения,40000,"ул. Николая Гоголя, 75Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7369419933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,есть,64 м²,1,,без отделки,,,прямая,,жилой дом,,на улице,54.52672195,52.78966904,,,,,,
Свободного назначения. Подходит для,530,"ул. Ялчыгола, 1Заинск",https://www.avito.ru/zainsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya._podhodit_dlya_7375580802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,есть,70 м²,1,3.2 м,чистовая,12 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.29016876,52.00588989,есть,9,,,,
Шаурма/Пекарня/Тандыр,30000,"Приволжский район, мкр-н Горки-3, Дубравная ул., 11БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/shaurmapekarnyatandyr_7370956867?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,12 м²,1,3 м,чистовая,"30 кВт, можно увеличить",,прямая,2 мес.,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.74102402,49.21880341,есть,25,эксплуатационные,,,
Офис,1200,"ул. Профессора Камая, 10к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_7326346214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,,,43.7 м²,1,,офисная,,,прямая,11 мес.,жилой дом,,на улице,55.74921799,49.18473053,есть,,,,кабинетная,
Торговая площадь 26 кв.м,18000,"ул. Ленина, 32Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/torgovaya_ploschad_26_kv.m_7359198983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,,26 м²,1,2.8 м,чистовая,,,прямая,,другой,,"на улице, бесплатная",54.85397339,53.07807159,,,"коммунальные, эксплуатационные",,,
Свободного назначения,20000,"ул. Юлиуса Фучика, 99АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7325221788?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,,20 м²,1,,чистовая,,,прямая,11 мес.,жилой дом,,на улице,55.75418091,49.22977066,есть,,,,,
Помещение в Ново-Савиновском районе,125000,"ул. Короленко, 28БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_novo-savinovskom_rayone_7387030846?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,85.6 м²,1,3.1 м,офисная,15 кВт,центральное,прямая,,жилой дом,первая линия,на улице,55.833572,49.101851,,,,,,
"Помещение свободного назначения в центре Казани ЖК ""Costura Town""",478800,"ул. Островского, 116Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_v_tsentre_kazani_zhk_costura_town_7387333193?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,136.8 м²,1,5.5 м,без отделки,30 кВт,центральное,прямая,,жилой дом,первая линия,в здании,55.776436,49.139544,,,,,,
Сдаю помещение 49 кв в ЖК Мой ритм,93100,"ул. Петра Полушкина, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdayu_pomeschenie_49_kv_v_zhk_moy_ritm_7352650510?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,,49 м²,1,4 м,без отделки,15 кВт,,прямая,,жилой дом,,на улице,55.785903,49.216664,есть,,,,,
"Торговая площадь, 90 м²",120000,"ул. Академика Сахарова, 31Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_90_m_7370254719?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,90 м²,1,2.6 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная",55.781985,49.223267,,4,,возможна,,
