title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания,city,street,total_price,price_per_meter,is_per_meter_price
Холодный склад от 50 м² до 1000 м²,300,"Механизаторный пр., 18/1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/holodnyy_sklad_ot_50_m_do_1000_m_7365356127?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,9 часов назад,со двора,,50.0,1.0,5 м,чистовая,300 кВт,,прямая,1 мес.,другой,,"на улице, подходит для грузового транспорта",55.73880386,52.49831009,есть,,,возможна,,,Набережные Челны,Механизаторный пр.,15000.0,300.0,True
Свободного назначения,102600,"ул. Азата Аббасова, 13Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7347638166?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,54.0,1.0,3 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.79113007,49.25039673,есть,,,,,,Казань,ул. Азата Аббасова,102600.0,1900.0,False
В центре Казани на ул Островского,479000,"ул. Островского, 104Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/v_tsentre_kazani_na_ul_ostrovskogo_7325657199?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,137.0,1.0,4 м,без отделки,,,прямая,,жилой дом,,в здании,55.779342,49.133426,есть,,,,,,Казань,ул. Островского,479000.0,3496.3503649635036,False
Свободного назначения,27000,"53-й комплекс, 27БНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7387321763?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,18.0,1.0,2.5 м,офисная,,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.74744415,52.44014359,,1.0,,,,,Набережные Челны,53-й комплекс,27000.0,1500.0,False
Склад,10000,"ул. Клары Цеткин, 8/27Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_7349315881?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,28.0,1.0,2.7 м,без отделки,,,прямая,,другой,,на улице,55.800286,49.066717,есть,,"коммунальные, эксплуатационные",,,,Казань,ул. Клары Цеткин,10000.0,357.14285714285717,False
"Свободного назначения, склад",25000,"ул. Клары Цеткин, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_sklad_7387031460?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,35.0,1.0,2.8 м,чистовая,5 кВт,,прямая,11 мес.,другой,,"на улице, бесплатная",55.800162941094406,49.0641307103549,есть,10.0,"коммунальные, эксплуатационные",,,,Казань,ул. Клары Цеткин,25000.0,714.2857142857143,False
"Торговая площадь, 26 м²",35000,"ул. Липатова, 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_26_m_7330950143?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,26.0,1.0,2.3 м,чистовая,15 кВт,,прямая,6 мес.,административное здание,,"на улице, бесплатная, подходит для грузового транспорта",55.871082,49.222467,есть,2.0,эксплуатационные,,,,Казань,ул. Липатова,35000.0,1346.1538461538462,False
"Офис, торговая площадь на первой линии",50000,"ул. Михаила Миля, 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_torgovaya_ploschad_na_pervoy_linii_7346923529?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,45.0,1.0,,офисная,,,прямая,,административное здание,,на улице,55.84863,49.126186,,,,,,,Казань,ул. Михаила Миля,50000.0,1111.111111111111,False
"Свободного назначения, 141.69 м²",850,"3-я Победиловская ул., 3АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_141.69_m_7361139926?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,141.69,1.0,3 м,офисная,35 кВт,центральное,прямая,11 мес.,административное здание,первая линия,"на улице, бесплатная",55.722892,49.089032,,,,,,,Казань,3-я Победиловская ул.,120436.5,850.0,True
Свободного назначения,27300,"ул. Маршала Чуйкова, 23Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7335238781?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,21.0,1.0,,чистовая,3 кВт,,прямая,5 мес.,жилой дом,,на улице,55.83688736,49.11849594,есть,,,,,,Казань,ул. Маршала Чуйкова,27300.0,1300.0,False
"Производство, склад",800,"Тэцевская ул., 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/proizvodstvo_sklad_7387061218?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,65.0,1.0,6 м,чистовая,30 кВт,,прямая,11 мес.,другой,,"на улице, бесплатная",55.84753184181762,49.07669862401752,есть,5.0,"коммунальные, эксплуатационные",,,,Казань,Тэцевская ул.,52000.0,800.0,True
"Торговая площадь, 30 м²",70000,"ул. Четаева, 43АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_7361711683?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,30.0,1.0,3.5 м,чистовая,5 кВт,центральное,прямая,,жилой дом,первая линия,"на улице, бесплатная",55.823909,49.113457,,,,,,,Казань,ул. Четаева,70000.0,2333.3333333333335,False
"Свободного назначения, 132.8 м²",170,"ул. Дементьева, 2к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_132.8_m_7342828229?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,со двора,есть,132.8,1.0,,офисная,,нет,субаренда,,административное здание,,на улице,55.845345,49.088825,,,эксплуатационные,,,,Казань,ул. Дементьева,22576.000000000004,170.0,True
Свободного назначения,900,"ул. Чоловского, 15/1Менделеевск",https://www.avito.ru/mendeleevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7347526358?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,77.0,1.0,11 м,чистовая,,,прямая,,торговый центр,,"на улице, бесплатная",55.88273621,52.30271912,есть,,коммунальные,,,,Менделеевск,ул. Чоловского,69300.0,900.0,True
"Торговая площадь, 18 м²",36000,"Оренбургский тракт, 158Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_18_m_7335926322?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,,18.0,1.0,3.8 м,чистовая,5 кВт,автономное,прямая,,торговый центр,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.724784,49.191835,,2000.0,эксплуатационные,,,,Казань,Оренбургский тракт,36000.0,2000.0,False
Свободного назначения,42000,"Приволжский район, Магистральная ул., 124Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7375541622?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,Вчера,с улицы,есть,50.0,1.0,,офисная,,,прямая,9 мес.,торговый центр,,на улице,55.7453916747702,49.10455065562776,есть,,,,,,Казань,"Приволжский район, Магистральная ул.",42000.0,840.0,False
Свободного назначения,45000,"ул. Академика Завойского, 13Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7336282091?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,50.0,1.0,3 м,чистовая,220 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.75859833,49.23910522,есть,,,,,,Казань,ул. Академика Завойского,45000.0,900.0,False
Свободного назначения,180000,"Ленинградская ул., 56АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7352614124?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,120.0,1.0,3 м,чистовая,"60 кВт, можно увеличить",,прямая,,другой,,"на улице, бесплатная",55.868948489206,49.08933298718915,есть,,,,,,Казань,Ленинградская ул.,180000.0,1500.0,False
Свободного назначения,40000,"ул. Николая Гоголя, 75Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7369419933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,есть,64.0,1.0,,без отделки,,,прямая,,жилой дом,,на улице,54.52672195,52.78966904,,,,,,,Бугульма,ул. Николая Гоголя,40000.0,625.0,False
Свободного назначения. Подходит для,530,"ул. Ялчыгола, 1Заинск",https://www.avito.ru/zainsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya._podhodit_dlya_7375580802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,есть,70.0,1.0,3.2 м,чистовая,12 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.29016876,52.00588989,есть,9.0,,,,,Заинск,ул. Ялчыгола,37100.0,530.0,True
Шаурма/Пекарня/Тандыр,30000,"Приволжский район, мкр-н Горки-3, Дубравная ул., 11БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/shaurmapekarnyatandyr_7370956867?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,12.0,1.0,3 м,чистовая,"30 кВт, можно увеличить",,прямая,2 мес.,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.74102402,49.21880341,есть,25.0,эксплуатационные,,,,Казань,"Приволжский район, мкр-н Горки-3, Дубравная ул.",30000.0,2500.0,False
Торговая площадь 26 кв.м,18000,"ул. Ленина, 32Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/torgovaya_ploschad_26_kv.m_7359198983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,,26.0,1.0,2.8 м,чистовая,,,прямая,,другой,,"на улице, бесплатная",54.85397339,53.07807159,,,"коммунальные, эксплуатационные",,,,Азнакаево,ул. Ленина,18000.0,692.3076923076923,False
Свободного назначения,20000,"ул. Юлиуса Фучика, 99АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7325221788?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,,20.0,1.0,,чистовая,,,прямая,11 мес.,жилой дом,,на улице,55.75418091,49.22977066,есть,,,,,,Казань,ул. Юлиуса Фучика,20000.0,1000.0,False
Помещение в Ново-Савиновском районе,125000,"ул. Короленко, 28БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_novo-savinovskom_rayone_7387030846?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,85.6,1.0,3.1 м,офисная,15 кВт,центральное,прямая,,жилой дом,первая линия,на улице,55.833572,49.101851,,,,,,,Казань,ул. Короленко,125000.0,1460.2803738317757,False
"Помещение свободного назначения в центре Казани ЖК ""Costura Town""",478800,"ул. Островского, 116Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_v_tsentre_kazani_zhk_costura_town_7387333193?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,136.8,1.0,5.5 м,без отделки,30 кВт,центральное,прямая,,жилой дом,первая линия,в здании,55.776436,49.139544,,,,,,,Казань,ул. Островского,478800.0,3499.9999999999995,False
Сдаю помещение 49 кв в ЖК Мой ритм,93100,"ул. Петра Полушкина, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdayu_pomeschenie_49_kv_v_zhk_moy_ritm_7352650510?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,,49.0,1.0,4 м,без отделки,15 кВт,,прямая,,жилой дом,,на улице,55.785903,49.216664,есть,,,,,,Казань,ул. Петра Полушкина,93100.0,1900.0,False
"Торговая площадь, 90 м²",120000,"ул. Академика Сахарова, 31Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_90_m_7370254719?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,90.0,1.0,2.6 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная",55.781985,49.223267,,4.0,,возможна,,,Казань,ул. Академика Сахарова,120000.0,1333.3333333333333,False
Торговая площадь,130000,"ул. Татарстан, 10Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7330603911?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,есть,104.0,1.0,3.4 м,офисная,30 кВт,,прямая,6 мес.,жилой дом,,на улице,55.84820853899151,48.50189983532873,есть,,коммунальные,,,,Зеленодольск,ул. Татарстан,130000.0,1250.0,False
Свободного назначения,195000,"ул. Тулпар, 9/28Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7340383093?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,с улицы,,72.0,1.0,4.5 м,чистовая,20 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.78612403235208,49.19022587511752,есть,10.0,,,,,Казань,ул. Тулпар,195000.0,2708.3333333333335,False
Свободного назначения,118000,"Бухарская ул., 32к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7349598293?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuazJYdUhMWEdodzJVQjZZIjt9HdiNeT8AAAA,3 дня назад,со двора,,59.0,1.0,4.5 м,без отделки,10 кВт,,прямая,,жилой дом,,на улице,55.77327347,49.20656586,есть,,,,,,Казань,Бухарская ул.,118000.0,2000.0,False
Торговая площадь,135000,"ул. Владимира Ленина, 39Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/torgovaya_ploschad_7365691396?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,3 дня назад,с улицы,есть,134.9,1.0,,чистовая,,,субаренда,,торговый центр,,на улице,54.53660965,52.80879211,есть,,,,,,Бугульма,ул. Владимира Ленина,135000.0,1000.7412898443291,False
Склад-контейнер,18500,"Ново-Аракчинская ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad-konteyner_7345649202?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,3 дня назад,с улицы,есть,30.0,1.0,,,"5 кВт, можно увеличить",,прямая,1 мес.,другой,,на улице,55.81222153,48.93821335,есть,,,,,,Казань,Ново-Аракчинская ул.,18500.0,616.6666666666666,False
