title,price,address,area,date,link,description
"Свободного назначения, 41.3 м²",78470,"ул. Академика Сахарова, 31р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_41.3_m_7296861320?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговое помещение на первой линии,159030,"ул. Космонавтов, 26р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_na_pervoy_linii_7297003941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Офис площадью 82.7 м2 рядом с ТЦ Франт,120000,"ул. Юлиуса Фучика, 78Проспект Победы, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_ploschadyu_82.7_m2_ryadom_s_tts_frant_7299846528?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Свободного назначения,80000,"ул. Фикрята Табеева, 3р-н Советский",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7321152260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Офис, гостиница, медцентр, аптека, салон красоты",282700,"Приволжский район, мкр-н Горки-3, мкр-н Экопарк Дубрава, ул. Абубекира Терегулова, 12Дубравная, 16–20 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_gostinitsa_medtsentr_apteka_salon_krasoty_7306183414?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,3000,"ул. Энергетиков, 1Яшьлек, до 5 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7282000882?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Торговая площадь,60000,"ул. Кул Гали, 34Дубравная, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7282012559?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, 71 м²",93720,"д. Куюки, 8-й квартал, 5",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_71_m_7316363441?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
ЖК Изумрудный город 65 м²,71500,"ул. Кул Гали, 27Дубравная, 21–30 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zhk_izumrudnyy_gorod_65_m_7319830226?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"1 этаж, отд. сан/узел, доступ 24/7",49200,"Курская ул., 3Суконная слобода, от 31 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/1_etazh_otd._sanuzel_dostup_247_7301635810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Магазин или офис в ЖК Магеллан, 45 м²",94000,"Чистопольская ул., 36Козья Слобода, 16–20 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/magazin_ili_ofis_v_zhk_magellan_45_m_7317644327?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 105.5 м²",158250,"ул. Соловецких Юнг, 7Яшьлек, 6–10 мин.",0,7 дней назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105.5_m_7306865620?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"30 кв.м около ТЦ Тандем, 1 этаж, отд вход, 1линия",2000,"пр-т Ибрагимова, 61АКозья Слобода, 6–10 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/30_kv.m_okolo_tts_tandem_1_etazh_otd_vhod_1liniya_7296229094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
Магазин на центральной улице 98м²,1000,"с. Кощаково, Комсомольская ул., 2И",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/magazin_na_tsentralnoy_ulitse_98m_7321397159?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Торговая площадь, 80 кв.м. Усады",2200,"с. Усады, ул. Габдуллы Тукая, 1А",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_80_kv.m._usady_7314088432?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Свободного назначения, 127 м²",1500,"Московская ул., 44Площадь Тукая, 11–15 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_127_m_7298531479?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
"Салон, Магазин, Офис на трафике",143750,"ул. Юлиуса Фучика, 133Проспект Победы, от 31 мин.",0,1 неделю назад,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/salon_magazin_ofis_na_trafike_7320888969?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUSEN5YlVoZlY1ME1rZGJwIjt9eFY-iT8AAAA,
