title,price,address,area,link,date
"Свободного назначения, 95 м²",32500,"Мамадышский тракт, 44р-н Советский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_95_m_2265332310?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,25 октября 2021
"Отдельный вход, доступ 24/7, Фурманова,25",800,"ул. Фурманова, 25Северный вокзал, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelnyy_vhod_dostup_247_furmanova25_4786623545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,21 февраля 16:18
"1-ый этаж, Отдельный вход со двора",60000,"ул. Баки Урманче, 5Проспект Победы, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/1-yy_etazh_otdelnyy_vhod_so_dvora_7230852082?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,19 марта 17:13
Торговая площадь,2000,"ул. Петра Полушкина, 6р-н Советский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281998517?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,7 дней назад
Торговая площадь с отдельным входом 13 м²,20475,"Ленинградская ул., 17Авиастроительная, до 5 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_s_otdelnym_vhodom_13_m_3139796578?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,22 июня 2023
"Склад, производство, офис 1 этаж 80 м²",750,"Техническая ул., 39Суконная слобода, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_proizvodstvo_ofis_1_etazh_80_m_4280540934?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,17 сентября 2024
"Офис с отдельным входом, 23.5 м²",49350,"ул. Габдуллы Тукая, 23Площадь Тукая, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_s_otdelnym_vhodom_23.5_m_4035762151?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 мая 2024
"Свободного назначения, 20 м²",20000,"ул. Маршала Чуйкова, 69р-н Ново-Савиновский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_20_m_7272425430?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Свободного назначения, 56 м²",69000,"ул. Фатыха Амирхана, 25Козья Слобода, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_56_m_7295156225?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,7 дней назад
Аренда кабинета 15 кв,50000,"Чистопольская ул., 15Козья Слобода, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_kabineta_15_kv_7257346104?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 недели назад
"Торговая площадь, 20 м²",2000,"ул. Белинского, 18Авиастроительная, 6–10 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_4048007454?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,20 мая 2024
"Свободного назначения, 70 м²",100000,"ул. Академика Глушко, 32р-н Советский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_70_m_7327668637?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 часа назад
"Медцентр, шоурум, склад-магазин 25 - 800м²",45000,"ул. Тази Гиззата, 26к1Кремлёвская, 16–20 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/medtsentr_shourum_sklad-magazin_25_-_800m_2192450783?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,6 августа 2021
"Торговая площадь, первая линия 40-195 кв.м",2000,"ул. Голубятникова, 2Северный вокзал, 21–30 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_pervaya_liniya_40-195_kv.m_7245376491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,16 марта 12:56
Свободного назначения,50000,"ул. Хади Такташа, 117Суконная слобода, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7319033709?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 дня назад
Торгово-офисное помещение свободного назначения 45,48000,"ул. Короленко, 93Северный вокзал, 16–20 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovo-ofisnoe_pomeschenie_svobodnogo_naznacheniya_45_7319021473?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,7 дней назад
Свободного назначения,2500,"ул. Сибгата Хакима, 42Козья Слобода, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7267046162?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Свобрдное назначение, отдельный взод, 1 этаж",155000,"Даурская ул., 44ВГорки, 11–15 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobrdnoe_naznachenie_otdelnyy_vzod_1_etazh_7266143742?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,2 недели назад
Помещение 63м с отдельным входом и ремонтом,70000,"ул. Генерала Махмута Гареева, 7Ар-н Кировский",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_63m_s_otdelnym_vhodom_i_remontom_4285928852?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,4 сентября 2024
"Торговая площадь, 11 м²",12000,"ул. Горьковское Шоссе, 15Яшьлек, от 31 мин.",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_11_m_7274144023?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Первая линия, отдельный вход",55000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_otdelnyy_vhod_4786531131?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,20 февраля 16:30
"Торговая площадь, 75 м²",150000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_75_m_7306419339?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,7 дней назад
Офис в центре города,240000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_v_tsentre_goroda_7250759284?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,2 недели назад
Помещение с отдельным входом 31.2 м²,81900,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_otdelnym_vhodom_31.2_m_7299621928?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 дня назад
70м² с панорамными окнами на первой линии,120000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/70m_s_panoramnymi_oknami_na_pervoy_linii_7257317219?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 недели назад
Презентабельный офис с мебелью Центре Казани 60 кв,120000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prezentabelnyy_ofis_s_mebelyu_tsentre_kazani_60_kv_4456125161?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,7 марта 10:16
"Торговая площадь, 51 м²",48000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_51_m_7242539947?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,19 марта 10:34
Помещение с ремонтом 113 м,125000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_remontom_113_m_4542282057?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,12 декабря 2024
"Доступ 24/7, отдельный вход; Лукина,11А",500,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/dostup_247_otdelnyy_vhod_lukina11a_7250718185?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 недели назад
"Помещение с отдельным входом 24 часа, 39 м²",51188,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_otdelnym_vhodom_24_chasa_39_m_4452012445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,8 октября 2024
Сдам помещение 25 кв с отдельным входом,53900,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_pomeschenie_25_kv_s_otdelnym_vhodom_7256447895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,19 марта 20:03
"Торговая площадь с отдельным входом, 92.5 м²",150000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_s_otdelnym_vhodom_92.5_m_2948339595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,18 апреля 2023
"Отдельный вход, доступ 24/7, Химиков,1А",1000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelnyy_vhod_dostup_247_himikov1a_7218464465?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,13 марта 11:48
"Свободного назначения, 136.5 м²",1250,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_136.5_m_2590830180?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,11 октября 2022
35м² на первой линии,75000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/35m_na_pervoy_linii_7289361276?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,2 недели назад
Торговая площадь на первой линии с отдельным входо,95000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_na_pervoy_linii_s_otdelnym_vhodo_4675742808?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,13 января 15:51
"Сдам торговое помещение, 70 м²",70000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_70_m_4424475900?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,13 февраля 09:32
"Первая линия, отдельный вход",1500,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_otdelnyy_vhod_4787147251?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,26 февраля 14:30
Торговая площадь 110м² на хорошем трафике,1750,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_110m_na_horoshem_trafike_7289175751?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
Помещение 63 кв.м. с отдельным входом в новом ЖК,95000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_63_kv.m._s_otdelnym_vhodom_v_novom_zhk_2460119678?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,8 июня 2022
"Отдельный вход, доступ 24/7, Мусина,69",800,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelnyy_vhod_dostup_247_musina69_4787303603?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,27 февраля 15:56
"Торговая площадь, 52 м²",47000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_52_m_7274551868?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,1 неделю назад
"Сдам помещение на первой линии, 17,9м²",21480,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_pomeschenie_na_pervoy_linii_179m_7257745657?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,21 марта 10:33
ПСН на первой линии с отдельным входом 145 кв.м,160000,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/psn_na_pervoy_linii_s_otdelnym_vhodom_145_kv.m_2056735799?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,27 января 2021
"Павильон на остановке, 20 м²",50000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pavilon_na_ostanovke_20_m_3335715970?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,9 октября 2023
Первая линия. Торговое ПСН Офис 54 м² свой с/у,216000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya._torgovoe_psn_ofis_54_m_svoy_su_7310342063?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,Вчера
ПСН 13.7 м² с мокрой точкой на 1 линии Восстания,24000,"Республика Татарстан, Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/psn_13.7_m_s_mokroy_tochkoy_na_1_linii_vosstaniya_2405841995?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,16 июня 2022
"Свободного назначения, 105.5 м²",158250,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105.5_m_7306865620?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,3 дня назад
"Помещение в густонаселенном районе города, 64.4 м²",70840,"Республика Башкортостан, Нефтекамск",0,https://www.avito.ru/neftekamsk/kommercheskaya_nedvizhimost/pomeschenie_v_gustonaselennom_rayone_goroda_64.4_m_7281924279?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,2 недели назад
Торговое помещение с отдельным входом,1400,"Республика Татарстан (Татарстан), Казань",0,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_s_otdelnym_vhodom_7257806261?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3MXp3ZXVFR01ZMmFoNTF0Ijt9Cs8i6T8AAAA,19 марта 13:33
