title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест
Продается помещение в новом ЖК на Гареева,18466500,"ул. Рауиса Гареева, 76Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodaetsya_pomeschenie_v_novom_zhk_na_gareeva_7352657196?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,94.7 м²,1,без отделки,продажа,,жилой дом,на улице,55.71876,49.167553,4 м,,,,,,,,
600 кв м в новом ЖК под детский сад,99264000,"ул. Рауиса Гареева, 76Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/600_kv_m_v_novom_zhk_pod_detskiy_sad_7352054855?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,601.6 м²,1,без отделки,продажа,,жилой дом,на улице,55.71876,49.167553,3.5 м,,,,,,,,
Продается ПСН в новом ЖК на Гареева,9420000,"ул. Рауиса Гареева, 76Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodaetsya_psn_v_novom_zhk_na_gareeva_7352115370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,31.4 м²,1,без отделки,продажа,,жилой дом,на улице,55.71876,49.167553,3.5 м,,,,,,,,
Свободного назначения,9400000,"ул. Нагаева, 53Болгар",https://www.avito.ru/bolgar/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7336951511?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,110 м²,1,офисная,продажа,,другой,на улице,54.9776001,49.0279541,3 м,15 кВт,,в эксплуатации,,есть,,первая линия,
Свободного назначения,22000000,"ул. Карбышева, 67Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7326107593?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,125.2 м²,1,чистовая,продажа,,жилой дом,на улице,55.74659348,49.18261719,2.5 м,15 кВт,,в эксплуатации,,,автономное,вторая линия и дальше,
"Торгово офисный дом, 2070.7 м²",126035000,"ул. Родины, 43Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovo_ofisnyy_dom_2070.7_m_7373908042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,2070.7 м²,1,чистовая,продажа,,торговый центр,на улице,55.768815,49.211113,,,,в эксплуатации,,,,первая линия,
Продам складской комплекс в Н.Туре,456365000,20Ас. Новая Тура,https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/prodam_skladskoy_kompleks_v_n.ture_7352965827?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,5324 м²,1,без отделки,продажа,,другой,на улице,55.85911,48.844959,12 м,,,,,,,,
Здание,90000000,"ул. Маршала Чуйкова, 23ВКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_7373613222?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,650 м²,,чистовая,продажа,помещение сдано,другой,"на улице, бесплатная",55.83631516,49.11906052,3 м,"100 кВт, можно увеличить",,в эксплуатации,,,автономное,,30
Продается комплекс зданий 919 м²,24000000,"посёлок ГЭС, Центральная ул., 83БНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_kompleks_zdaniy_919_m_7365802296?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,919 м²,1,чистовая,продажа,,административное здание,на улице,55.700091,52.316256,3 м,"35 кВт, можно увеличить",,в эксплуатации,,,центральное,первая линия,
Готовый арендный бизнес 597 м2,41000000,"пр-т Мусы Джалиля, 4-АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_597_m2_7346150709?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,597 м²,1,чистовая,продажа,помещение сдано,другой,на улице,55.668021,52.276524,,,,,,,,,
Офис с арендатором в новом ЖК,3894000,"ул. Генерала Махмута Гареева, 7БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_s_arendatorom_v_novom_zhk_7353549668?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,17.7 м²,1,офисная,продажа,,бизнес-центр,на улице,55.858609,48.907096,,,,,,,,,
Помещение 577 м²с арендатором Магнит 10лет,123000000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_577_ms_arendatorom_magnit_10let_7344629949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,577 м²,1,офисная,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.8 м,70 кВт,,в эксплуатации,,есть,центральное,первая линия,
"Свободного назначения, 279 м²",45000000,"ул. Сибирский Тракт, 34к14Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_279_m_7361633752?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,279 м²,1,чистовая,продажа,,административное здание,"на улице, бесплатная",55.816293,49.186903,5 м,25 кВт,,в эксплуатации,,есть,центральное,вторая линия и дальше,5
"Свободного назначения, 151 м²",19000000,"ул. Нариманова, 16ААльметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_151_m_7352590384?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,151 м²,1,офисная,продажа,помещение сдано,бизнес-центр,"на улице, бесплатная",54.91027069,52.3249321,3 м,"380 кВт, можно увеличить",,в эксплуатации,,есть,автономное,вторая линия и дальше,20
"Помещение 101.4 м² под магазин, маникюр, офис",23350000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.4_m_pod_magazin_manikyur_ofis_7370742171?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,101.4 м²,1,офисная,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.8 м,10 кВт,,в эксплуатации,,есть,центральное,первая линия,
"Помещение, 105.6 м²с арендатором пивной магазин",25555000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_105.6_ms_arendatorom_pivnoy_magazin_7370772245?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,105.6 м²,1,офисная,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.9 м,10 кВт,,в эксплуатации,,есть,центральное,первая линия,
Помещение 68 м² под магазин,16320000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_68_m_pod_magazin_7370217064?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,3 дня назад,с улицы,68 м²,1,офисная,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.8 м,10 кВт,,в эксплуатации,,есть,центральное,первая линия,
"Офисы, 17.5 м² в бизнес центре",3784000,"ул. Генерала Махмута Гареева, 7БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_17.5_m_v_biznes_tsentre_7339266646?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,17.2 м²,1,офисная,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.858609,48.907096,3.9 м,5 кВт,кабинетная,в эксплуатации,,,,,
"Готовый Арендный Бизнес, торговая площадь 10731,5 м²",535600000,"пр-т Мусы Джалиля, 15Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_torgovaya_ploschad_107315_m_7353374688?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,10731.5 м²,1,чистовая,продажа,,торговый центр,на улице,55.674468,52.281024,,,,,,,,,
"Свободного назначения, 153.8 м²",16800000,"58-й комплекс, 2Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_153.8_m_7365390271?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,153.8 м²,1,чистовая,продажа,,жилой дом,на улице,55.72061222016193,52.40295621957397,3 м,"10 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,
"Торговая площадь, 131 м²",22000000,"ул. Тукая, 2АНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_131_m_7331987351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,131 м²,1,чистовая,продажа,,торговый центр,"на улице, бесплатная",55.62387466,51.8170433,,,,в эксплуатации,,есть,,первая линия,
"Складское помещение, 703.2 м²",29000000,"ул. Владимира Кулагина, 10БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/skladskoe_pomeschenie_703.2_m_7340448637?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,703.2 м²,1,,продажа,,другой,,55.743411,49.135097,,,,в эксплуатации,,,,,
Торговая площадь,8000000,"Большая ул., 7Арск",https://www.avito.ru/arsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7354640231?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,110 м²,1,без отделки,продажа,,торговый центр,на улице,56.09218916751803,49.88120557267028,3 м,10 кВт,,в эксплуатации,,есть,нет,первая линия,
Склад,1150000,"пр-т Победы, 139к3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_7326543028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,16 м²,1,чистовая,продажа,помещение сдано,жилой дом,в здании,55.77569615367945,49.215986999436495,5 м,5 кВт,,в эксплуатации,,есть,центральное,,
Офисы от 7.5м² до 17.7м²,220000,"ул. Генерала Махмута Гареева, 7БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_ot_7.5m_do_17.7m_7355128740?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,17 м²,1,чистовая,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.85860825,48.90709686,4 м,,открытая,в эксплуатации,,,,,20
Готовый арендный бизнес,1920000,"Молодёжная ул., 29д. Куюки",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_7355328433?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,12.8 м²,1,чистовая,продажа,помещение сдано,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",55.72243118,49.33327484,2.8 м,,открытая,в эксплуатации,,,,,60
Офисы и готовый арендный бизнес 9.2-100.2м²,1540000,"Маршрутная ул., 12АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_i_gotovyy_arendnyy_biznes_9.2-100.2m_7355721550?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,15 м²,1,чистовая,продажа,,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",55.82285632227268,49.03398091771018,2.8 м,,открытая,в эксплуатации,,,,,20
Офисы от 12.8-13.5м2,2838000,"Роторная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_ot_12.8-13.5m2_7355919605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,12.8 м²,1,чистовая,продажа,,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",55.76589966,49.15207672,2.8 м,,открытая,в эксплуатации,,,,,10
Офисы от 12.6 - 24.6м2,3552000,"ул. Парижской Коммуны, 25/39Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofisy_ot_12.6_-_24.6m2_7355646704?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,,12.6 м²,1,чистовая,продажа,,бизнес-центр,на улице,55.781547938257255,49.11323025760759,4 м,,открытая,строится,,,,,10
"Продам помещение свободного назначения, 600 м²",21000000,"ул. Ленина, 5Менделеевск",https://www.avito.ru/mendeleevsk/kommercheskaya_nedvizhimost/prodam_pomeschenie_svobodnogo_naznacheniya_600_m_7337577605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,600 м²,1,без отделки,продажа,,административное здание,на улице,55.907026,52.294247,,15 кВт,,в эксплуатации,,есть,,,
Свободного назначения,5000000,"пр-т Ленина, 21Лениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7359033267?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,7 дней назад,с улицы,76.1 м²,1,офисная,продажа,,жилой дом,на улице,54.6015625,52.44816589,,,,в эксплуатации,,есть,автономное,первая линия,
"Свободного назначения, 105.6 м²",25310000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_105.6_m_7335344924?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,1 неделю назад,с улицы,105.6 м²,1,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.9 м,"5 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,25
Торговая площадь,7300000,"Лесная ул., 75Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7332700097?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,1 неделю назад,с улицы,56.3 м²,1,чистовая,продажа,,торговый центр,"на улице, бесплатная",55.66540909,51.8249588,,,,в эксплуатации,,есть,центральное,вторая линия и дальше,
Продаётся габ с окупаемостью 8 лет,150000000,"Московский пр-т, 91Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_gab_s_okupaemostyu_8_let_7353683702?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRdENIYjgweVh5RDAyamlrIjt9Wg2foT8AAAA,1 неделю назад,со двора,3580 м²,1,чистовая,продажа,,административное здание,на улице,55.727841,52.398605,,,,,,,,,
